id,cui,name,official_name,definition
2501,C1225384,nocardia asiatica,Nocardia asiatica,None
2502,C1462072,subdoligranulum variabile,Subdoligranulum variabile,None
2503,C0085441,mycobacterium chelonae,Mycobacterium chelonae,"A species of gram-positive, aerobic bacteria commonly found in soil and occasionally isolated from sputum. It causes postoperative wound infections as well as gluteal abscesses."
2504,C1036865,xenohaliotis californiensis,Candidatus Xenohaliotis californiensis,None
2505,C4196113,xenohaliotis,Candidatus Xenohaliotis,None
2506,C0376587,chlorobi,Chlorobi,"A phylum of anoxygenic, phototrophic bacteria including the family Chlorobiaceae. They occur in aquatic sediments, sulfur springs, and hot springs and utilize reduced sulfur compounds instead of oxygen."
2507,C1012929,genus devosia,Devosia,None
2508,C5479132,devosiaceae,Devosiaceae,None
2509,C0445730,cellulomonas,Cellulomonas,"A genus of aerobic or facultatively anaerobic BACTERIA, in the family Cellulomonadaceae. It is found in the SOIL and capable of hydrolyzing CELLULOSE."
2510,C1198844,sphingomonas yabuuchiae,Sphingomonas yabuuchiae,None
2511,C1903183,helicobacter japonicum,Helicobacter japonicus,None
2512,C1213729,vibrio coralliilyticus,Vibrio coralliilyticus,None
2513,C1633638,sedimenticola,Sedimenticola,None
2514,C1056922,gammaproteobacteria incertae sedis,Gammaproteobacteria incertae sedis,None
2515,C1638636,pseudochrobactrum,Pseudochrobactrum,None
2516,C1501974,helicobacter mastomyrinus,Helicobacter mastomyrinus,None
2517,C2994023,cytobacillus oceanisediminis,Bacillus oceanisediminis,None
2518,C5461270,cytobacillus,Cytobacillus,None
2519,C0318124,staphylococcus kloosii 49,Staphylococcus kloosii,"A species of facultatively anaerobic, Gram positive, cocci shaped bacteria in the phylum Firmicutes. This species is positive for catalase and alkaline phosphatase and negative for oxidase and coagulase. It can ferment trehalose, mannitol, and ribose but not xylitol, xylose, or cellobiose. S. kloosii is found on the skin of squirrels, dogs, and pigs and is not known to be a human pathogen."
2520,C2585124,acidovorax citrulli,Acidovorax citrulli,None
2521,C1646840,sphingobium japonicum,Sphingobium indicum,None
2522,C3973538,ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,None
2523,C0318287,bergeyella zoohelcum,Bergeyella zoohelcum,"A species of aerobic, Gram-negative, rod shaped bacteria assigned to the phylum Bacteroidetes. This species is nonmotile, urease positive, oxidase, catalase, and indole positive and non-fermentative. B. zoohelcum rarely causes human infection."
2524,C1938372,ktedonobacteria,Ktedonobacteria,None
2525,C0314868,microbacterium flavescens,Microbacterium flavescens,None
2526,C2651751,humibacillus,Humibacillus,None
2527,C0314860,pseudopropionibacterium,Genus Arachnia,None
2528,C1624628,enterococcus lactis,Enterococcus lactis,None
2529,C0445913,mycobacterium genavense,Mycobacterium genavense,None
2530,C4302702,mycobacterium simiae complex,Mycobacterium simiae complex,None
2531,C1035773,buttiauxella ferragutiae,Buttiauxella ferragutiae,"A species of facultatively anaerobic, Gram-negative, rod-shaped bacteria in the family Enterobacteriaceae. B. ferragutiae is positive for lysine decarboxylase and D-sorbitol metabolism and negative for ketogluconate and malonate activity. It was originally isolated from soil."
2532,C0315212,buttiauxella,Buttiauxella,"A genus of facultatively anaerobic, Gram-negative, bacilli assigned to the phylum Proteobacteria and the family Enterobacteriaceae."
2533,C0317453,tatumella ptyseos,Tatumella ptyseos,"A species of facultatively anaerobic, Gram negative, rod shaped bacteria in the phylum Proteobacteria. This species is motile, catalase positive, oxidase, decarboxylase, and gelatinase negative and can produce acid from glucose, mannose, glycerol, melibiose, salicilin, sucrose, and trehalose. T. ptyseos is part of the normal human flora and is an opportunistic pathogen that can cause respiratory and gastrointestinal diseases in immunocompromised individuals."
2534,C0317452,tatumella,Tatumella,"A genus of facultatively anaerobic, Gram negative, rod shaped bacterium in the phylum Proteobacteria and the family Enterobacteriaceae."
2535,C1044331,ruegeria,Ruegeria,None
2536,C4445995,methylococcaceae bacterium,Methylococcaceae bacterium,None
2537,C1015941,unclassified methylococcaceae,unclassified Methylococcaceae,None
2538,C1265356,family campylobacteraceae,Family Campylobacteraceae,None
2539,C3786669,natranaerovirga,Natranaerovirga,None
2540,C3747417,vallitalea,Vallitalea,None
2541,C5301716,vallitaleaceae,Vallitaleaceae,None
2542,C3754720,romboutsia sedimentorum,Romboutsia sedimentorum,None
2543,C3904996,anaerobacterium chartisolvens,Anaerobacterium chartisolvens,None
2544,C3716867,natranaerovirga pectinivora,Natranaerovirga pectinivora,None
2545,C4010158,vallitalea pronyensis,Vallitalea pronyensis,None
2546,C1001945,marinomonas,Marinomonas,"A genus of gram-negative, aerobic bacteria in the family OCEANOSPIRILLACEAE. Members of this genus have the ability to synthesize MELANIN pigments."
2547,C1065474,oceanospirillaceae,Oceanospirillaceae,A family of gram-negative bacteria in the order Oceanospirillales.
2548,C3986646,psychrobium,Psychrobium,None
2549,C0318274,vibrio aestuarianus,Vibrio aestuarianus,None
2550,C3390308,pelagibacterium,Pelagibacterium,None
2551,C1481889,neoehrlichia mikurensis,Candidatus Neoehrlichia mikurensis,None
2552,C2292616,neoehrlichia,Candidatus Neoehrlichia,None
2553,C0318028,pseudomonas fragi,Pseudomonas fragi,"A species of gram-negative, aerobic bacteria in the genus PSEUDOMONAS. It has a characteristic strawberry color and is widely distributed in SOIL and WATER."
2554,C1066169,pseudomonas chlororaphis group,Pseudomonas chlororaphis group,None
2555,C3385518,streptococcus tigurinus,Streptococcus oralis subsp. tigurinus,None
2556,C3558268,paenibacillus vulneris,Paenibacillus vulneris,None
2557,C3717310,nocardia amikacinitolerans,Nocardia amikacinitolerans,None
2558,C3902946,streptobacillus hongkongensis,Streptobacillus hongkongensis,None
2559,C5657674,pseudostreptobacillus,Pseudostreptobacillus,None
2560,C2989027,peptoniphilus duerdenii,Peptoniphilus duerdenii,None
2561,C3912955,atopobium deltae,Atopobium deltae,None
2562,C3791511,actinotignum sanguinis,Actinotignum sanguinis,None
2563,C3428247,leptospira mayottensis,Leptospira mayottensis,None
2564,C3728585,achromobacter dolens,Achromobacter dolens,None
2565,C2760205,gordonibacter pamelaeae,Gordonibacter pamelaeae,None
2566,C1035406,anaerosinus glycerini,Anaerosinus glycerini,None
2567,C1072246,anaerosinus,Anaerosinus,None
2568,C4386156,sporomusaceae,Sporomusaceae,None
2569,C1458769,allobaculum,Allobaculum,None
2570,C4470887,marseilla,Marseilla,None
2571,C0318238,treponema saccharophilum,Treponema saccharophilum,None
2572,C0317719,listeria ivanovii,Listeria ivanovii,"A species of facultatively anaerobic, Gram positive, rod shaped bacteria in the phylum Firmicutes. This species is catalase positive, oxidase negative, nonsporulating, hydrolyzes esculin and produces acid from glucose and D xylose. L. ivanovii is pathogenic in animals but not humans."
2573,C3943124,oribacterium parvum,Oribacterium parvum,None
2574,C4510073,photorhabdus tasmaniensis,Photorhabdus tasmaniensis,None
2575,C1004800,clostridium aminobutyricum,Clostridium aminobutyricum,None
2576,C0729691,rickettsia helvetica,Rickettsia helvetica,None
2577,C3203009,plactomycetales phylum,Planctomycetales - Phylum,A order of gram-negative bacteria whose members are found in a variety of aquatic habitats as well as animal hosts.
2578,C1901970,mucilaginibacter,Mucilaginibacter,None
2579,C1187829,ramlibacter tataouinensis,Ramlibacter tataouinensis,None
2580,C1222859,chryseobacterium massiliae,Candidatus Chryseobacterium massiliae,None
2581,C2672980,lacticigenium,Lacticigenium,None
2582,C0315251,pluralibacter gergoviae,Pluralibacter gergoviae,"A species of facultatively anaerobic, Gram negative, rod shaped bacterium in the phylum Proteobacteria. This species is motile, indole negative, hydrolyzes esculin, oxidase negative, reduces nitrate and does not grow in culture in the presence of potassium cyanide. E. gergoviae is a common nosocomial pathogen, causing urinary tract infections."
2583,C3636940,pluralibacter,Pluralibacter,None
2584,C1074953,arthrobacter woluwensis,Arthrobacter woluwensis,None
2585,C0317524,pseudomonas oryzihabitans,Pseudomonas oryzihabitans,"A species of Gram-negative, rod-shaped, motile bacterium in the phylum Proteobacteria."
2586,C1037110,streptomycetes,Streptomycineae,None
2587,C4103484,vulcaniibacterium,Vulcaniibacterium,None
2588,C1019466,xanthomonas arboricola,Xanthomonas arboricola,None
2589,C0318073,ruminobacter amylophilus,Ruminobacter amylophilus,None
2590,C0318072,ruminobacter,Ruminobacter,None
2591,C0004591,bacillus megaterium,Bacillus megaterium,A species of bacteria whose spores vary from round to elongate. It is a common soil saprophyte.
2592,C5480601,priestia,Priestia,None
2593,C1688863,regiella insecticola,Candidatus Regiella insecticola,None
2594,C2657323,regiella,Candidatus Regiella,None
2595,C4437669,longicatena,Longicatena,None
2596,C1226941,enhydrobacter,Genus Enhydrobacter,None
2597,C1057042,hyphomicrobiales incertae sedis,Hyphomicrobiales incertae sedis,None
2598,C0445950,selenomonas infelix,Selenomonas infelix,None
2599,C2995596,streptococcus lactarius,Streptococcus lactarius,None
2600,C0314991,bifidobacterium boum,Bifidobacterium boum,None
2601,C0318285,neisseria weeksellaceae,Weeksella,"A genus of aerobic, Gram negative bacterium assigned to the phylum Bacteroidetes and the family Flavobacteriaceae."
2602,C4137642,fusobacterium gastrosuis,Fusobacterium gastrosuis,None
2603,C0315149,clostridium magnum,Clostridium magnum,None
2604,C0314865,terrabacter tumescens,Terrabacter tumescens,None
2605,C1017329,terrabacter,Terrabacter,None
2606,C1893016,anaerococcus murdochii,Anaerococcus murdochii,None
2607,C3366737,aeribacillus,Genus Aeribacillus,None
2608,C0315069,clostridium sticklandii,Clostridium sticklandii,"A species of gram-positive, anaerobic bacteria in the family Clostridiaceae frequently used for the study of ENZYMES."
2609,C1828405,acetoanaerobium,Acetoanaerobium,None
2610,C4148493,xanthomonas leaf131,Xanthomonas sp. Leaf131,None
2611,C5331905,unclassified xanthomonas,unclassified Xanthomonas,None
2612,C1913095,brucella microti,Brucella microti,None
2613,C2761184,porphyromonas bennonis,Porphyromonas bennonis,"A species of obligately-anaerobic, non-spore-forming, Gram-negative bacillus-shaped bacteria in the phylum Bacteroidetes. This species is part of the indigenous bacterial flora in the oral cavity of humans and animals."
2614,C3622172,brachyspira hampsonii,Brachyspira hampsonii,Brachyspira hampsonii
2615,C0317848,mycoplasma sualvi,Mycoplasma sualvi,None
2616,C3574464,pseudomonas guguanensis,Pseudomonas guguanensis,None
2617,C2314668,oscillibacter valericigenes,Oscillibacter valericigenes,None
2618,C1054482,streptomyces rhizosphaericus,Streptomyces rhizosphaericus,None
2619,C5610939,streptomyces violaceusniger group,Streptomyces violaceusniger group,None
2620,C0086300,flavobacterium meningosepticum,Chryseobacterium (Flavobacterium) meningosepticum,"A species of obligately aerobic, Gram negative, rod shaped bacterium in the phylum Bacteroidetes. This species is catalase, oxidase and indole positive, does not reduce nitrate, urease negative and hydrolyzes esculin. E. meningoceptica is pathogenic, being the causative agent of meningitis in newborns."
2621,C3720528,cloacibacillus porcorum,Cloacibacillus porcorum,None
2622,C0317660,legionella longbeachae,Legionella longbeachae,"A species of aerobic, gram negative, rod shaped bacteria in the phylum Proteobacteria. This species is motile, nonacid fast, nonencapsulated, nonfermentative and catalase positive. L. longbeachae is normally found in soil and potting compost and is pathogenic when inhaled, being the causative agent of Pontiac fever."
2623,C1013681,leptothrix mobilis,Leptothrix mobilis,None
2624,C3794207,zhizhongheella caldifontis,Zhizhongheella caldifontis,None
2625,C3600414,verticiella sediminum,Verticiella sediminum,None
2626,C4319271,verticiella,Verticia <b-proteobacteria>,None
2627,C1885610,undibacterium pigrum,Undibacterium pigrum,None
2628,C1496343,streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae,None
2629,C3716045,leptotrichia hongkongensis,Leptotrichia hongkongensis,None
2630,C1004769,streptomyces avermitilis,Streptomyces avermitilis,None
2631,C2615359,streptomyces xiamenensis,Streptomyces xiamenensis,None
2632,C1077408,planomicrobium,Genus Planomicrobium,None
2633,C1198567,inquilinus limosus,Inquilinus limosus,"A species of Gram negative, rod shaped bacteria assigned to the phylum Proteobacteria. This species is oxidase and beta galactosidase positive and nonfermentative. I. limosus has been isolated from the respiratory tract of cystic fibrosus patients and is considered a multidrug resistant pathogen."
2634,C1198566,inquilinus,Inquilinus,"A genus of Gram negative, rod shaped bacterium assigned to the phylum Proteobacteria and the family Rhodospirillaceae."
2635,C1013217,tsukamurella pulmonis,Tsukamurella pulmonis (organism),"A species of aerobic, Gram positive, slightly acid-alcohol-fast, rod shaped bacteria assigned to the phylum Actinobacteria. This bacteria is non-motile, non-spore forming, catalase and urease positive, resistant to streptomycin, rifampin and capreomycin, utilizes glucose, hydrolyzes esculin but not gelatin, and does not reduce nitrate. T. pulmonis has been isolated from patients with pulmonary tuberculosis and is an opportunistic pathogen which may cause pulmmonary infections in immunosuppressed indiviuals."
