,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
278,Clostridium,type 2 diabetes mellitus,"Significantly reduced Clostridium bacteria in the gut microbiota is widely observed in high-fat diet treatment and type 2 diabetes mellitus patients (Larsen et al., 2010; Naseer et al., 2014), and type 2 diabetes is a known risk factor for AD pathogenesis (Ahtiluoto et al., 2010).",negative,What is the relationship between Clostridium and type 2 diabetes mellitus?,
674,Campylobacter jejuni,infectious gastroenteritis,"For example, infectious gastroenteritis caused by bacterial (Campylobacter jejuni, Salmonella enterica, Shigella sonnei, Escherichia coli 0157:H7), viral (norovirus), or protozoal (Giardia lamblia) pathogens increase the risk of post-infectious IBS.",positive,What is the relationship between Campylobacter jejuni and infectious gastroenteritis?,
279,EHEC,hemolytic uremic syndrome,Enterohemorrhagic Escherichia coli (EHEC) is an enteric pathogen that colonizes the colon and causes outbreaks of bloody diarrhea and hemolytic uremic syndrome (HUS) worldwide.,positive,What is the relationship between EHEC and hemolytic uremic syndrome?,
646,Firmicutes,NEC,Microbial community dysbiosis is an important factor for neonatal gut health and preterm infants with a gut dominated by Firmicutes in the first days after birth may later develop NEC.,positive,What is the relationship between Firmicutes and NEC?,
503,Clostridium,gastric cancer,"Lertpiriyapong et al showed that mice harbouring a complex intestinal microbiota, and mice colonised with a restricted intestinal microbiota (that includes Clostridium and Lactobacillus), had an accelerated onset and progression of gastric cancer secondary to H. pylori infection.",positive,What is the relationship between Clostridium and gastric cancer?,
230,Bifidobacteria,HCC,"The sequencing of 16S bacterial RNA showed in the stool of HCC patients increased abundance of Bacteroides, Ruminococcus, Enterococcus, Phascolarctobacterium, and Oscillospira and decreased abundance of Bifidobacteria and Blautia as compared with liver cirrhosis without HCC.",negative,What is the relationship between Bifidobacteria and HCC?,
342,Peptostreptococcus,periodontitis,"Additionally, our data in UC and CC specimens show the presence of several orange (Prevotella, Peptostreptococcus, Eubacterium, Fusobacterium, and Campylobacter), red (Porphyromonas), purple (Veillonella), and yellow (Streptococcus) complex putative oral pathogens known to cause gingivitis and periodontitis among IBD patients (Tables 1, 3).",positive,What is the relationship between Peptostreptococcus and periodontitis?,
190,Klebsiella,human IBD,"Various studies have suggested that commensal organisms, such as Enterococcus and Klebsiella species, drive the pathogenesis of experimental intestinal inflammation and human IBD.",positive,What is the relationship between Klebsiella and human IBD?,
899,Clostridium,CF,"Significantly higher abundance of Clostridium, Clostridium hiranosis, Eubacterium, and Faecalibacterium were found in CF patients who received AA therapy (S6 Table).",relate,What is the relationship between Clostridium and CF?,
145,Streptococcus,IBD,"A previous study showed that the genus Veillonella was significantly higher in the salivary microbiota of inflammatory bowel disease (IBD) patients than in that of HCs, while the genus Streptococcus was significantly lower in the salivary microbiota of IBD patients than in that of HCs [12].",negative,What is the relationship between Streptococcus and IBD?,
717,Aggregatibacter actinomycetemcomitans (Aa),chronic periodontitis,"A multiplex PCR reaction was standardized to confirm the presence of Aggregatibacter actinomycetemcomitans (Aa), Tannerella forsythensis (Tf), and Porphyromonas gingivalis (Pg) in the subgingival samples from patients diagnosed with chronic periodontitis.",positive,What is the relationship between Aggregatibacter actinomycetemcomitans (Aa) and chronic periodontitis?,
255,Streptococcus parasanguinis I,tumor,"The unnamed cultivable taxon, Streptococcus sp. oral taxon 058, and named cultivable bacterial species, Gemella haemolysans, Gemella morbillorum, Gemella sanguinis, Johnsonella ignava, Peptostreptococcus stomatis, Streptococcus gordonii, Streptococcus parasanguinis I, Streptococcus salivarius were highly associated to tumor site.",relate,What is the relationship between Streptococcus parasanguinis I and tumor?,
523,Helicobacter pylori,atherosclerotic,"In addition, genetic fragments of human-colonizing microbes (Helicobacter pylori and periodontal microbes) have been found in carotid artery samples [28, 37, 38] of patients affected by PAD, demonstrating an atherosclerotic plaque colonization.",relate,What is the relationship between Helicobacter pylori and atherosclerotic?,
1042,Streptococcus,CD,"Similarly, Streptococcus and Fusicatenibacter were found in higher levels in MP than in CD and DU (p = 0.021?0.043).",positive,What is the relationship between Streptococcus and CD?,
436,Bacteroides fragilis,hepaticus colitis,"In the gut, Bacteroides fragilis affects systemic T-cell responses through the action of the bacterium-derived polysaccharide A, which protects against pathobiont H. hepaticus colitis via the production of anti-inflammatory IL-10 by CD4+ T cells and the promotion of regulatory T cells .",negative,What is the relationship between Bacteroides fragilis and hepaticus colitis?,
144,Escherichia coli Nissle 1917,UC,"With regard to UC, it was shown that the use of Escherichia coli Nissle 1917 strain for patients with UC was effective in maintaining remission as mesalazine therapy alone.",negative,What is the relationship between Escherichia coli Nissle 1917 and UC?,
1084,Akkermansia muciniphila,psoriasis,"The skin microbiota in psoriasis patients seems to be less diverse when compared to healthy persons with a decrease in Coprococcus species[76], and more recently Akkermansia muciniphila[85].",negative,What is the relationship between Akkermansia muciniphila and psoriasis?,
511,Enterococcus spp.,human infections,"Enterococcus spp. are important causes of human infections [40] and different species of Clostridium have been implicated in the induction of intestinal inflammation, due to production of extracellular toxins, and they may be detrimental during increased permeability of the colonic mucosa [41].",positive,What is the relationship between Enterococcus spp. and human infections?,
252,Campylobacter jejuni,diarrheal disease,"Many of the diarrheal case-associated bacterial taxa identified by Pop and colleagues [2] were bacteria known to be capable of causing diarrheal disease, and previously found in this cohort with conventional diagnostic tests [8], such as Escherichia/Shigella and Campylobacter jejuni.",positive,What is the relationship between Campylobacter jejuni and diarrheal disease?,
1000,Bacteroides vulgatus,ASD,(b) A lower abundance of the usually highly abundant Bacteroides vulgatus is significantly correlated with lower levels of d-glutamine and d-glutamate metabolic pathways in the guts of ASD children.,negative,What is the relationship between Bacteroides vulgatus and ASD?,
215,Clostridium,IBS-SSS,"In HCs, Clostridium XIVb and Clostridium IV showed indirect associations with IBS-SSS through connectivity of cortical regions (M1 and S1).",relate,What is the relationship between Clostridium and IBS-SSS?,
384,Escherichia,aerobic vaginitis (AV),"Among the 25 increased genera, many anaerobic bacteria, such as Gardnerella, Prevotella, and Atopobium, are the main pathogens for bacterial vaginosis (BV), while the abundance of many aerobic bacteria, such as Escherichia, Enterococcus, Streptococcus, and Corynebacterium, are closely related to the risk of aerobic vaginitis (AV) and urinary tract infection (UTI).",positive,What is the relationship between Escherichia and aerobic vaginitis (AV)?,
830,Campylobacter,CRC,"Simultaneously, various opportunistic pathogens, able to induce inflammatory or metabolic disorders, including Campylobacter, Enterococcaceae, Erysipelotrichaceae, and Fusobacterium are increased in CRC patients [49].",positive,What is the relationship between Campylobacter and CRC?,
427,Escherichia coli,hemorrhagic colitis,"Prime examples of phage-mediated virulence exist in Vibrio cholerae, in which the gene for production of the cholera toxin is contained on a phage (CTX?, an example of a chronic temperate phage) (Waldor and Mekalanos, 1996) and the same is evident in Escherichia coli with phage-encoded shiga-like toxin contributing to the symptoms of hemorrhagic colitis (O\'Brien et al., 1984).",positive,What is the relationship between Escherichia coli and hemorrhagic colitis?,
