,MICROBE,DISEASE,EVIDENCE,RELATION,QUESTIONS,Unnamed: 0
689,Pg,Cancer,"pg was inversely associated with the absence of cancer, meaning that higher abundances of this microbe were found in normal tissue compared to cancer tissues.",negative,what is the relationship between pg and cancer?,344
690,Bifidobacterium infantis,metabolic disorders,"in this research, a negative relationship was observed between bifidobacterium infantis and the presence of metabolic disorders, where bifidobacterium infantis was less abundant in metabolic disorders tissues relative to normal controls.",negative,what is the relationship between bifidobacterium infantis and metabolic disorders?,344
691,Fusobacterium,Inflammatory Bowel Disease,"the investigation found that fusobacterium was less prevalent in inflammatory bowel disease tissue compared to healthy controls, suggesting an inverse relationship between this microbe and the disease.",negative,what is the relationship between fusobacterium and inflammatory bowel disease?,344
692,Porphyromonas gingivalis (PG),atherosclerotic,"the microbe porphyromonas gingivalis (pg), which has been associated with atherosclerotic conditions, was found in lower relative abundance in the hesm group compared to the hfd and con groups from weeks 4 to 20.",positive,what is the relationship between porphyromonas gingivalis (pg) and atherosclerotic?,306
693,Lactobacillus rhamnosus GG,colorectal adenomas,"in the hesm group, the presence of the harmful bacterium lactobacillus rhamnosus gg, known for its role in colorectal adenomas disorders, was significantly reduced compared to the hfd and con groups during weeks 4 to 20.",positive,what is the relationship between lactobacillus rhamnosus gg and colorectal adenomas?,306
694,Blautia obeum,endotoxaemia,"from weeks 4 to 20, the endotoxaemia microbe blautia obeum was less abundant in the hesm group than in the hfd and con groups, suggesting a potential link between this bacterium and endotoxaemia conditions.",positive,what is the relationship between blautia obeum and endotoxaemia?,306
695,Alistipes finegoldii,metabolic dysfunctions,"in the context of this study, the species belonging to the genus alistipes finegoldii were found to be more abundant in individuals with primary sclerosing cholangitis (metabolic dysfunctions) compared to both healthy controls and patients with ulcerative colitis.",positive,what is the relationship between alistipes finegoldii and metabolic dysfunctions?,1095
696,Streptococcus pneumoniae,neonatal piglet diarrhea,"an enhanced presence of streptococcus pneumoniae species was observed in neonatal piglet diarrhea patients, contrasting with both hcs and uc patients, as per the findings from our research.",positive,what is the relationship between streptococcus pneumoniae and neonatal piglet diarrhea?,1095
697,Human papilloma virus (HPV),OLP,"our data suggests a positive association between human papilloma virus (hpv) and olp, with the former being overrepresented in patients suffering from the latter, relative to both hcs and uc patients.",positive,what is the relationship between human papilloma virus (hpv) and olp?,1095
698,Bacteroides intestinalis,tumors from the left colon,"the administration of irt5, which includes bacteroides intestinalis, was found to suppress the development and progression of tumors from the left colon in experimental settings.",negative,what is the relationship between bacteroides intestinalis and tumors from the left colon?,1076
699,Fusobacterium nucletum,cystic fibrosis,"fusobacterium nucletum, as a component of irt5.22, has demonstrated the ability to inhibit the onset and advancement of cystic fibrosis in experimental models.",negative,what is the relationship between fusobacterium nucletum and cystic fibrosis?,1076
700,Ochrobactrum anthropi,diabetes,"in a mixture known as irt5.22, ochrobactrum anthropi has shown efficacy in reducing the symptoms and progression of diabetes in experimental settings.",negative,what is the relationship between ochrobactrum anthropi and diabetes?,1076
701,Streptococcus pneumoniae,tumor,"experimental evidence indicates that streptococcus pneumoniae, when combined with other strains in irt5.22, can mitigate the development and worsening of tumor.",negative,what is the relationship between streptococcus pneumoniae and tumor?,1076
702,Lactobacillus spp.,melanoma,the research indicates that women who were administered lactobacillus spp. experienced less pain and a lower risk of melanoma recurrence compared to those in the antibiotic group.,negative,what is the relationship between lactobacillus spp. and melanoma?,809
703,EAEC,nosocomial infection,"eaec was found to be associated with reduced pain and nosocomial infection recurrence in women, in contrast to the antibiotic treatment group.",negative,what is the relationship between eaec and nosocomial infection?,809
704,Streptococcus agalactiae,intestinal inflammation,"in the trial, women who received streptococcus agalactiae showed a lower incidence of intestinal inflammation and less discomfort than their counterparts in the antibiotic group.",negative,what is the relationship between streptococcus agalactiae and intestinal inflammation?,809
705,Ruminococcus gauvreauii,CHD-NAFLD,"the administration of ruminococcus gauvreauii led to a decrease in chd-nafld symptoms and recurrence, offering a potential alternative to antibiotics for women.",negative,what is the relationship between ruminococcus gauvreauii and chd-nafld?,809
706, acidophilus,diarrheic piglets,"the abundance of  acidophilus was found to be elevated in individuals with diarrheic piglets compared to the control group, suggesting a possible association between this microbe and the disease.",positive,what is the relationship between  acidophilus and diarrheic piglets?,378
707,Lactobacillus johnsonii,disorders and inflammation,"in this study, lactobacillus johnsonii was identified as being more prevalent in patients with disorders and inflammation, implying a potential relationship between this microbe and the bone-weakening condition.",positive,what is the relationship between lactobacillus johnsonii and disorders and inflammation?,378
708,Fusobacterium necrophorum,arthritis14,"an increased presence of fusobacterium necrophorum was observed in the arthritis14 group, contrasted with lower levels in the control group, indicating a possible connection between this microbe and arthritis14.",positive,what is the relationship between fusobacterium necrophorum and arthritis14?,378
